DateKey,Date,Year,Quarter,QuarterName,YearQuarter,MonthNumber,MonthName,MonthShort,MonthYear,MonthYearSort,DayName,DayOfWeek,IsWeekend
20080101,2008-01-01,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Tuesday,2,False
20080102,2008-01-02,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Wednesday,3,False
20080103,2008-01-03,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Thursday,4,False
20080104,2008-01-04,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Friday,5,False
20080105,2008-01-05,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Saturday,6,True
20080106,2008-01-06,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Sunday,7,True
20080107,2008-01-07,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Monday,1,False
20080108,2008-01-08,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Tuesday,2,False
20080109,2008-01-09,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Wednesday,3,False
20080110,2008-01-10,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Thursday,4,False
20080111,2008-01-11,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Friday,5,False
20080112,2008-01-12,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Saturday,6,True
20080113,2008-01-13,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Sunday,7,True
20080114,2008-01-14,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Monday,1,False
20080115,2008-01-15,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Tuesday,2,False
20080116,2008-01-16,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Wednesday,3,False
20080117,2008-01-17,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Thursday,4,False
20080118,2008-01-18,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Friday,5,False
20080119,2008-01-19,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Saturday,6,True
20080120,2008-01-20,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Sunday,7,True
20080121,2008-01-21,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Monday,1,False
20080122,2008-01-22,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Tuesday,2,False
20080123,2008-01-23,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Wednesday,3,False
20080124,2008-01-24,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Thursday,4,False
20080125,2008-01-25,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Friday,5,False
20080126,2008-01-26,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Saturday,6,True
20080127,2008-01-27,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Sunday,7,True
20080128,2008-01-28,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Monday,1,False
20080129,2008-01-29,2008,1,Q1,2008-Q1,1,January,Jan,Jan 2008,200801,Tuesday,2,False
